Datecadangan,Close,warna,ML,symbol
2011-02-08,1889.949951171875,green,LR,ANTM
2011-02-09,1868.949951171875,green,LR,ANTM
2011-02-10,1826.949951171875,green,LR,ANTM
2011-02-11,1826.949951171875,green,LR,ANTM
2011-02-14,1847.949951171875,green,LR,ANTM
2011-02-16,1847.949951171875,green,LR,ANTM
2011-02-17,1847.949951171875,green,LR,ANTM
2011-02-18,1847.949951171875,green,LR,ANTM
2011-02-21,1868.949951171875,green,LR,ANTM
2011-02-22,1847.949951171875,green,LR,ANTM
2011-02-23,1868.949951171875,green,LR,ANTM
2011-02-24,1826.949951171875,green,LR,ANTM
2011-02-25,1826.949951171875,green,LR,ANTM
2011-02-28,1847.949951171875,green,LR,ANTM
2011-03-01,1910.949951171875,green,LR,ANTM
2011-03-02,1910.949951171875,green,LR,ANTM
2011-03-03,1889.949951171875,green,LR,ANTM
2011-03-04,1889.949951171875,green,LR,ANTM
2011-03-07,1889.949951171875,green,LR,ANTM
2011-03-08,1889.949951171875,green,LR,ANTM
2011-03-09,1889.949951171875,green,LR,ANTM
2011-03-10,1847.949951171875,green,LR,ANTM
2011-03-11,1805.949951171875,green,LR,ANTM
2011-03-14,1826.949951171875,green,LR,ANTM
2011-03-15,1805.949951171875,green,LR,ANTM
2011-03-16,1805.949951171875,green,LR,ANTM
2011-03-17,1784.949951171875,green,LR,ANTM
2011-03-18,1805.949951171875,green,LR,ANTM
2011-03-21,1826.949951171875,green,LR,ANTM
2011-03-22,1826.949951171875,green,LR,ANTM
2011-03-24,1889.949951171875,green,LR,ANTM
2011-03-25,1889.949951171875,green,LR,ANTM
2011-03-28,1889.949951171875,green,LR,ANTM
2011-03-29,1889.949951171875,green,LR,ANTM
2011-03-30,1931.949951171875,green,LR,ANTM
2011-03-31,1931.949951171875,green,LR,ANTM
2011-04-01,1952.949951171875,green,LR,ANTM
2011-04-04,1931.949951171875,green,LR,ANTM
2011-04-05,1931.949951171875,green,LR,ANTM
2011-04-06,1952.949951171875,green,LR,ANTM
2011-04-07,1973.949951171875,green,LR,ANTM
2011-04-08,1994.949951171875,green,LR,ANTM
2011-04-11,2015.93994140625,green,LR,ANTM
2011-04-12,1994.949951171875,green,LR,ANTM
2011-04-13,1973.949951171875,green,LR,ANTM
2011-04-14,1931.949951171875,green,LR,ANTM
2011-04-15,1973.949951171875,green,LR,ANTM
2011-04-18,1952.949951171875,green,LR,ANTM
2011-04-19,1952.949951171875,green,LR,ANTM
2011-04-20,1931.949951171875,green,LR,ANTM
2011-04-21,1910.949951171875,green,LR,ANTM
2011-04-25,1931.949951171875,green,LR,ANTM
2011-04-26,1889.949951171875,green,LR,ANTM
2011-04-27,1931.949951171875,green,LR,ANTM
2011-04-28,1931.949951171875,green,LR,ANTM
2011-04-29,1910.949951171875,green,LR,ANTM
2011-05-02,1910.949951171875,green,LR,ANTM
2011-05-03,1889.949951171875,green,LR,ANTM
2011-05-04,1868.949951171875,green,LR,ANTM
2011-05-05,1868.949951171875,green,LR,ANTM
2011-05-06,1847.949951171875,green,LR,ANTM
2011-05-09,1847.949951171875,green,LR,ANTM
2011-05-10,1847.949951171875,green,LR,ANTM
2011-05-11,1889.949951171875,green,LR,ANTM
2011-05-12,1868.949951171875,green,LR,ANTM
2011-05-13,1847.949951171875,green,LR,ANTM
2011-05-16,1847.949951171875,green,LR,ANTM
2011-05-18,1868.949951171875,green,LR,ANTM
2011-05-19,1868.949951171875,green,LR,ANTM
2011-05-20,1847.949951171875,green,LR,ANTM
2011-05-23,1805.949951171875,green,LR,ANTM
2011-05-24,1805.949951171875,green,LR,ANTM
2011-05-25,1763.949951171875,green,LR,ANTM
2011-05-26,1805.949951171875,green,LR,ANTM
2011-05-27,1805.949951171875,green,LR,ANTM
2011-05-30,1805.949951171875,green,LR,ANTM
2011-05-31,1805.949951171875,green,LR,ANTM
2011-06-01,1805.949951171875,green,LR,ANTM
2011-06-03,1805.949951171875,green,LR,ANTM
2011-06-06,1805.949951171875,green,LR,ANTM
2011-06-07,1784.949951171875,green,LR,ANTM
2011-06-08,1784.949951171875,green,LR,ANTM
2011-06-09,1784.949951171875,green,LR,ANTM
2011-06-10,1784.949951171875,green,LR,ANTM
2011-06-13,1784.949951171875,green,LR,ANTM
2011-06-14,1784.949951171875,green,LR,ANTM
2011-06-15,1784.949951171875,green,LR,ANTM
2011-06-16,1721.949951171875,green,LR,ANTM
2011-06-17,1679.949951171875,green,LR,ANTM
2011-06-20,1679.949951171875,green,LR,ANTM
2011-06-21,1700.949951171875,green,LR,ANTM
2011-06-22,1721.949951171875,green,LR,ANTM
2011-06-23,1742.949951171875,green,LR,ANTM
2011-06-24,1784.949951171875,green,LR,ANTM
2011-06-27,1742.949951171875,green,LR,ANTM
2011-06-28,1763.949951171875,green,LR,ANTM
2011-06-30,1742.949951171875,green,LR,ANTM
2011-07-01,1763.949951171875,green,LR,ANTM
2011-07-05,1784.949951171875,green,LR,ANTM
2011-07-06,1805.949951171875,green,LR,ANTM
2011-07-07,1763.949951171875,green,LR,ANTM
2011-07-08,1763.949951171875,green,LR,ANTM
2011-07-11,1721.949951171875,green,LR,ANTM
2011-07-12,1700.949951171875,green,LR,ANTM
2011-07-13,1721.949951171875,green,LR,ANTM
2011-07-14,1700.949951171875,green,LR,ANTM
2011-07-15,1679.949951171875,green,LR,ANTM
2011-07-18,1671.550048828125,green,LR,ANTM
2011-07-19,1721.949951171875,green,LR,ANTM
2011-07-20,1721.949951171875,green,LR,ANTM
2011-07-21,1700.949951171875,green,LR,ANTM
2011-07-22,1721.949951171875,green,LR,ANTM
2011-07-25,1700.949951171875,green,LR,ANTM
2011-07-26,1721.949951171875,green,LR,ANTM
2011-07-27,1721.949951171875,green,LR,ANTM
2011-07-28,1721.949951171875,green,LR,ANTM
2011-07-29,1679.949951171875,green,LR,ANTM
2011-08-01,1700.949951171875,green,LR,ANTM
2011-08-02,1700.949951171875,green,LR,ANTM
2011-08-03,1679.949951171875,green,LR,ANTM
2011-08-04,1679.949951171875,green,LR,ANTM
2011-08-05,1612.760009765625,green,LR,ANTM
2011-08-08,1570.760009765625,green,LR,ANTM
2011-08-09,1528.760009765625,green,LR,ANTM
2011-08-10,1570.760009765625,green,LR,ANTM
2011-08-11,1604.3599853515625,green,LR,ANTM
2011-08-12,1646.3499755859375,green,LR,ANTM
2011-08-15,1679.949951171875,green,LR,ANTM
2011-08-16,1654.75,green,LR,ANTM
2011-08-18,1679.949951171875,green,LR,ANTM
2011-08-19,1629.56005859375,green,LR,ANTM
2011-08-22,1646.3499755859375,green,LR,ANTM
2011-08-23,1646.3499755859375,green,LR,ANTM
2011-08-24,1629.56005859375,green,LR,ANTM
2011-08-25,1587.56005859375,green,LR,ANTM
2011-08-26,1579.1600341796875,green,LR,ANTM
2011-09-05,1587.56005859375,green,LR,ANTM
2011-09-06,1587.56005859375,green,LR,ANTM
2011-09-07,1637.949951171875,green,LR,ANTM
2011-09-08,1629.56005859375,green,LR,ANTM
2011-09-09,1595.9599609375,green,LR,ANTM
2011-09-12,1562.3599853515625,green,LR,ANTM
2011-09-13,1562.3599853515625,green,LR,ANTM
2011-09-14,1528.760009765625,green,LR,ANTM
2011-09-15,1495.1600341796875,green,LR,ANTM
2011-09-16,1528.760009765625,green,LR,ANTM
2011-09-19,1503.56005859375,green,LR,ANTM
2011-09-20,1511.9599609375,green,LR,ANTM
2011-09-21,1495.1600341796875,green,LR,ANTM
2011-09-22,1360.760009765625,green,LR,ANTM
2011-09-23,1327.1600341796875,green,LR,ANTM
2011-09-26,1201.1700439453125,green,LR,ANTM
2011-09-27,1234.77001953125,green,LR,ANTM
2011-09-28,1217.969970703125,green,LR,ANTM
2011-09-29,1209.5699462890625,green,LR,ANTM
2011-09-30,1259.969970703125,green,LR,ANTM
2011-10-03,1184.3699951171875,green,LR,ANTM
2011-10-04,1192.77001953125,green,LR,ANTM
2011-10-05,1192.77001953125,green,LR,ANTM
2011-10-06,1243.1700439453125,green,LR,ANTM
2011-10-07,1251.5699462890625,green,LR,ANTM
2011-10-10,1259.969970703125,green,LR,ANTM
2011-10-11,1268.3599853515625,green,LR,ANTM
2011-10-12,1335.56005859375,green,LR,ANTM
2011-10-13,1369.1600341796875,green,LR,ANTM
2011-10-14,1385.9599609375,green,LR,ANTM
2011-10-17,1478.3599853515625,green,LR,ANTM
2011-10-18,1394.3599853515625,green,LR,ANTM
2011-10-19,1419.56005859375,green,LR,ANTM
2011-10-20,1427.9599609375,green,LR,ANTM
2011-10-21,1419.56005859375,green,LR,ANTM
2011-10-24,1419.56005859375,green,LR,ANTM
2011-10-25,1444.760009765625,green,LR,ANTM
2011-10-26,1436.3599853515625,green,LR,ANTM
2011-10-27,1503.56005859375,green,LR,ANTM
2011-10-28,1537.1600341796875,green,LR,ANTM
2011-10-31,1503.56005859375,green,LR,ANTM
2011-11-01,1419.56005859375,green,LR,ANTM
2011-11-02,1453.1600341796875,green,LR,ANTM
2011-11-03,1411.1600341796875,green,LR,ANTM
2011-11-04,1444.760009765625,green,LR,ANTM
2011-11-07,1427.9599609375,green,LR,ANTM
2011-11-08,1436.3599853515625,green,LR,ANTM
2011-11-09,1444.760009765625,green,LR,ANTM
2011-11-10,1411.1600341796875,green,LR,ANTM
2011-11-11,1411.1600341796875,green,LR,ANTM
2011-11-14,1419.56005859375,green,LR,ANTM
2011-11-15,1419.56005859375,green,LR,ANTM
2011-11-16,1411.1600341796875,green,LR,ANTM
2011-11-17,1419.56005859375,green,LR,ANTM
2011-11-18,1402.760009765625,green,LR,ANTM
2011-11-21,1369.1600341796875,green,LR,ANTM
2011-11-22,1394.3599853515625,green,LR,ANTM
2011-11-23,1360.760009765625,green,LR,ANTM
2011-11-24,1360.760009765625,green,LR,ANTM
2011-11-25,1343.9599609375,green,LR,ANTM
2011-11-28,1352.3599853515625,green,LR,ANTM
2011-11-29,1352.3599853515625,green,LR,ANTM
2011-11-30,1377.56005859375,green,LR,ANTM
2011-12-01,1377.56005859375,green,LR,ANTM
2011-12-02,1411.1600341796875,green,LR,ANTM
2011-12-05,1402.760009765625,green,LR,ANTM
2011-12-06,1394.3599853515625,green,LR,ANTM
2011-12-07,1394.3599853515625,green,LR,ANTM
2011-12-08,1394.3599853515625,green,LR,ANTM
2011-12-09,1377.56005859375,green,LR,ANTM
2011-12-12,1377.56005859375,green,LR,ANTM
2011-12-13,1369.1600341796875,green,LR,ANTM
2011-12-14,1360.760009765625,green,LR,ANTM
2011-12-15,1343.9599609375,green,LR,ANTM
2011-12-16,1352.3599853515625,green,LR,ANTM
2011-12-19,1352.3599853515625,green,LR,ANTM
2011-12-20,1343.9599609375,green,LR,ANTM
2011-12-21,1352.3599853515625,green,LR,ANTM
2011-12-22,1352.3599853515625,green,LR,ANTM
2011-12-23,1360.760009765625,green,LR,ANTM
2011-12-27,1352.3599853515625,green,LR,ANTM
2011-12-28,1360.760009765625,green,LR,ANTM
2011-12-29,1369.1600341796875,green,LR,ANTM
2011-12-30,1360.760009765625,green,LR,ANTM
2012-01-02,1360.760009765625,green,LR,ANTM
2012-01-03,1369.1600341796875,green,LR,ANTM
2012-01-04,1394.3599853515625,green,LR,ANTM
2012-01-05,1394.3599853515625,green,LR,ANTM
2012-01-06,1385.9599609375,green,LR,ANTM
2012-01-09,1377.56005859375,green,LR,ANTM
2012-01-10,1394.3599853515625,green,LR,ANTM
2012-01-11,1419.56005859375,green,LR,ANTM
2012-01-12,1427.9599609375,green,LR,ANTM
2012-01-13,1444.760009765625,green,LR,ANTM
2012-01-16,1427.9599609375,green,LR,ANTM
2012-01-17,1427.9599609375,green,LR,ANTM
2012-01-18,1444.760009765625,green,LR,ANTM
2012-01-19,1453.1600341796875,green,LR,ANTM
2012-01-20,1469.9599609375,green,LR,ANTM
2012-01-24,1478.3599853515625,green,LR,ANTM
2012-01-25,1453.1600341796875,green,LR,ANTM
2012-01-26,1503.56005859375,green,LR,ANTM
2012-01-27,1587.56005859375,green,LR,ANTM
2012-01-30,1562.3599853515625,green,LR,ANTM
2012-01-31,1579.1600341796875,green,LR,ANTM
2012-02-01,1579.1600341796875,green,LR,ANTM
2012-02-02,1587.56005859375,green,LR,ANTM
2012-02-03,1604.3599853515625,green,LR,ANTM
2012-02-06,1621.1600341796875,green,LR,ANTM
2012-02-07,1612.760009765625,green,LR,ANTM
2012-02-08,1621.1600341796875,green,LR,ANTM
2012-02-09,1604.3599853515625,green,LR,ANTM
2012-02-10,1562.3599853515625,green,LR,ANTM
2012-02-13,1587.56005859375,green,LR,ANTM
2012-02-14,1629.56005859375,green,LR,ANTM
2012-02-15,1612.760009765625,green,LR,ANTM
2012-02-16,1595.9599609375,green,LR,ANTM
2012-02-17,1612.760009765625,green,LR,ANTM
2012-02-20,1612.760009765625,green,LR,ANTM
2012-02-21,1663.1500244140625,green,LR,ANTM
2012-02-22,1679.949951171875,green,LR,ANTM
2012-02-23,1646.3499755859375,green,LR,ANTM
2012-02-24,1629.56005859375,green,LR,ANTM
2012-02-27,1595.9599609375,green,LR,ANTM
2012-02-28,1604.3599853515625,green,LR,ANTM
2012-02-29,1646.3499755859375,green,LR,ANTM
2012-03-01,1621.1600341796875,green,LR,ANTM
2012-03-02,1629.56005859375,green,LR,ANTM
2012-03-05,1621.1600341796875,green,LR,ANTM
2012-03-06,1595.9599609375,green,LR,ANTM
2012-03-07,1553.9599609375,green,LR,ANTM
2012-03-08,1570.760009765625,green,LR,ANTM
2012-03-09,1553.9599609375,green,LR,ANTM
2012-03-12,1570.760009765625,green,LR,ANTM
