Datecadangan,Close,warna,ML,symbol
2007-03-22,1931.949951171875,red,LR,ANTM
2007-03-23,1906.75,red,LR,ANTM
2007-03-26,1965.550048828125,red,LR,ANTM
2007-03-27,1973.949951171875,red,LR,ANTM
2007-03-28,1906.75,red,LR,ANTM
2007-03-29,1982.3499755859373,red,LR,ANTM
2007-03-30,1990.75,red,LR,ANTM
2007-04-02,2007.5400390625,red,LR,ANTM
2007-04-03,2133.5400390625,red,LR,ANTM
2007-04-04,2385.530029296875,red,LR,ANTM
2007-04-05,2326.739990234375,red,LR,ANTM
2007-04-09,2469.530029296875,red,LR,ANTM
2007-04-10,2553.530029296875,red,LR,ANTM
2007-04-11,2578.72998046875,red,LR,ANTM
2007-04-12,2536.72998046875,red,LR,ANTM
2007-04-13,2452.72998046875,red,LR,ANTM
2007-04-16,2595.530029296875,red,LR,ANTM
2007-04-17,2603.929931640625,red,LR,ANTM
2007-04-18,2545.1298828125,red,LR,ANTM
2007-04-19,2393.929931640625,red,LR,ANTM
2007-04-23,2570.330078125,red,LR,ANTM
2007-04-24,2553.530029296875,red,LR,ANTM
2007-04-25,2503.1298828125,red,LR,ANTM
2007-04-26,2662.72998046875,red,LR,ANTM
2007-04-27,2620.72998046875,red,LR,ANTM
2007-04-30,2620.72998046875,red,LR,ANTM
2007-05-01,2696.330078125,red,LR,ANTM
2007-05-02,2729.919921875,red,LR,ANTM
2007-05-03,2721.52001953125,red,LR,ANTM
2007-05-04,2713.1298828125,red,LR,ANTM
2007-05-07,2721.52001953125,red,LR,ANTM
2007-05-08,2704.72998046875,red,LR,ANTM
2007-05-09,2713.1298828125,red,LR,ANTM
2007-05-10,2713.1298828125,red,LR,ANTM
2007-05-11,2654.330078125,red,LR,ANTM
2007-05-14,2671.1298828125,red,LR,ANTM
2007-05-16,2671.1298828125,red,LR,ANTM
2007-05-21,2662.72998046875,red,LR,ANTM
2007-05-22,2654.330078125,red,LR,ANTM
2007-05-23,2645.929931640625,red,LR,ANTM
2007-05-24,2528.330078125,red,LR,ANTM
2007-05-25,2486.330078125,red,LR,ANTM
2007-05-28,2528.330078125,red,LR,ANTM
2007-05-29,2461.1298828125,red,LR,ANTM
2007-05-30,2435.929931640625,red,LR,ANTM
2007-06-04,2251.139892578125,red,LR,ANTM
2007-06-05,2083.139892578125,red,LR,ANTM
2007-06-06,2234.340087890625,red,LR,ANTM
2007-06-07,2183.93994140625,red,LR,ANTM
2007-06-08,2141.93994140625,red,LR,ANTM
2007-06-11,2217.5400390625,red,LR,ANTM
2007-06-12,2242.739990234375,red,LR,ANTM
2007-06-13,2192.340087890625,red,LR,ANTM
2007-06-14,2234.340087890625,red,LR,ANTM
2007-06-15,2276.340087890625,red,LR,ANTM
2007-06-18,2251.139892578125,red,LR,ANTM
2007-06-19,2217.5400390625,red,LR,ANTM
2007-06-20,2209.139892578125,red,LR,ANTM
