Datecadangan,Close,warna
2004-02-17,3725.0,red
2004-02-18,3600.0,red
2004-02-19,3575.0,red
2004-02-20,3575.0,red
2004-02-24,3625.0,red
2004-02-25,3600.0,red
2004-02-26,3550.0,red
2004-02-27,3400.0,red
2004-03-01,3375.0,red
2004-03-02,3675.0,red
2004-03-03,3575.0,red
2004-03-04,3550.0,red
2004-03-05,3575.0,red
2004-03-08,3525.0,red
2004-03-09,3550.0,red
2004-03-10,3550.0,red
2004-03-11,3450.0,red
2004-03-12,3425.0,red
2004-03-15,3400.0,red
2004-03-16,3450.0,red
2004-03-17,3450.0,red
2004-03-18,3525.0,red
2004-03-19,3550.0,red
2004-03-23,3550.0,red
2004-03-24,3550.0,red
2004-03-25,3450.0,red
2004-03-26,3475.0,red
2004-03-29,3550.0,red
2004-03-30,3525.0,red
2004-03-31,3550.0,red
2004-04-01,3550.0,red
2004-04-02,3550.0,red
2004-04-06,3625.0,red
2004-04-07,3600.0,red
2004-04-08,3675.0,red
2004-04-12,3600.0,red
2004-04-13,3600.0,red
2004-04-14,3675.0,red
2004-04-15,3650.0,red
2004-04-16,3650.0,red
2004-04-19,3675.0,red
2004-04-20,3750.0,red
2004-04-21,3775.0,red
2004-04-22,3700.0,red
2004-04-23,3650.0,red
2004-04-26,3650.0,red
2004-04-27,3700.0,red
2004-04-28,3750.0,red
2004-04-29,3725.0,red
2004-04-30,3675.0,red
2004-05-04,3675.0,red
2004-05-05,3600.0,red
2004-05-06,3625.0,red
2004-05-07,3600.0,red
2004-05-10,3500.0,red
2004-05-11,3650.0,red
2004-05-12,3725.0,red
2004-05-13,3750.0,red
2004-05-14,3725.0,red
2004-05-17,3375.0,red
2004-05-18,3525.0,red
2004-05-19,3550.0,red
2004-05-21,3650.0,red
2004-05-24,3675.0,red
2004-05-25,3575.0,red
2004-05-26,3575.0,red
2004-05-27,3600.0,red
2004-05-28,3600.0,red
2004-05-31,3600.0,red
2004-06-01,3625.0,red
2004-06-02,3650.0,red
2004-06-04,3650.0,red
2004-06-07,3700.0,red
2004-06-08,3675.0,red
2004-06-09,3675.0,red
2004-06-10,3700.0,red
2004-06-11,3675.0,red
2004-06-14,3700.0,red
2004-06-15,3775.0,red
2004-06-16,3800.0,red
2004-06-17,3775.0,red
2004-06-18,3625.0,red
2004-06-21,3650.0,red
2004-06-22,3675.0,red
2004-06-23,3625.0,red
2004-06-24,3700.0,red
2004-06-25,3850.0,red
2004-06-28,3800.0,red
2004-06-29,3800.0,red
2004-06-30,3925.0,red
2004-07-01,3800.0,red
2004-07-02,3900.0,red
2004-07-06,3950.0,red
2004-07-07,3950.0,red
2004-07-08,3975.0,red
2004-07-09,3900.0,red
2004-07-12,3900.0,red
2004-07-13,3950.0,red
2004-07-14,3900.0,red
2004-07-15,3875.0,red
2004-07-16,3850.0,red
2004-07-19,3850.0,red
2004-07-20,3875.0,red
2004-07-21,3850.0,red
2004-07-22,3800.0,red
2004-07-23,3775.0,red
2004-07-26,3775.0,red
2004-07-27,3825.0,red
2004-07-28,3850.0,red
2004-07-29,3875.0,red
2004-07-30,3775.0,red
2004-08-02,3800.0,red
2004-08-03,3850.0,red
2004-08-04,3825.0,red
2004-08-05,3775.0,red
2004-08-06,3800.0,red
2004-08-09,3675.0,red
2004-08-10,3675.0,red
2004-08-11,3700.0,red
2004-08-12,3675.0,red
2004-08-13,3650.0,red
2004-08-16,3650.0,red
2004-08-18,3650.0,red
2004-08-19,3650.0,red
2004-08-20,3625.0,red
2004-08-23,3550.0,red
2004-08-24,3400.0,red
2004-08-25,3300.0,red
2004-08-26,3325.0,red
2004-08-27,3375.0,red
2004-08-30,3375.0,red
2004-08-31,3350.0,red
2004-09-01,3400.0,red
2004-09-02,3425.0,red
2004-09-03,3500.0,red
2004-09-06,3450.0,red
2004-09-07,3450.0,red
2004-09-08,3475.0,red
2004-09-09,3400.0,red
2004-09-10,3450.0,red
2004-09-14,3475.0,red
2004-09-15,3500.0,red
2004-09-16,3500.0,red
2004-09-17,3475.0,red
2004-09-21,3450.0,red
2004-09-22,3400.0,red
2004-09-23,3400.0,red
2004-09-24,3400.0,red
