Datecadangan,Predictions,warna
2010-04-19,8090.091723987833,blue
2010-04-20,8092.295749060344,blue
2010-04-21,8094.499774133088,blue
2010-04-22,8096.703799205599,blue
2010-04-23,8098.9078242783435,blue
2010-04-26,8105.51989949611,blue
2010-04-27,8107.723924568854,blue
2010-04-28,8109.927949641366,blue
2010-04-29,8112.13197471411,blue
2010-04-30,8114.335999786621,blue
2010-05-03,8120.9480750046205,blue
2010-05-04,8123.152100077365,blue
2010-05-05,8125.356125149876,blue
2010-05-06,8127.56015022262,blue
2010-05-07,8129.764175295131,blue
2010-05-10,8136.376250513131,blue
2010-05-11,8138.580275585642,blue
2010-05-12,8140.784300658386,blue
2010-05-14,8145.192350803642,blue
2010-05-17,8151.804426021408,blue
2010-05-18,8154.008451094152,blue
2010-05-19,8156.212476166664,blue
2010-05-20,8158.416501239408,blue
2010-05-21,8160.620526312152,blue
2010-05-24,8167.232601529919,blue
2010-05-25,8169.436626602663,blue
2010-05-26,8171.640651675174,blue
2010-05-27,8173.844676747918,blue
2010-05-31,8182.660777038429,blue
2010-06-01,8184.86480211094,blue
2010-06-02,8187.068827183684,blue
2010-06-03,8189.272852256196,blue
2010-06-04,8191.47687732894,blue
2010-06-07,8198.08895254694,blue
2010-06-08,8200.29297761945,blue
2010-06-09,8202.497002692195,blue
2010-06-10,8204.701027764706,blue
2010-06-11,8206.90505283745,blue
2010-06-14,8213.517128055217,blue
2010-06-15,8215.72115312796,blue
2010-06-16,8217.925178200472,blue
2010-06-17,8220.129203273216,blue
2010-06-18,8222.333228345728,blue
2010-06-21,8228.945303563727,blue
2010-06-22,8231.149328636471,blue
2010-06-23,8233.353353708982,blue
2010-06-24,8235.557378781727,blue
2010-06-25,8237.761403854238,blue
2010-06-28,8244.373479072237,blue
2010-06-29,8246.577504144749,blue
2010-06-30,8248.781529217493,blue
2010-07-01,8250.985554290004,blue
2010-07-02,8253.189579362748,blue
2010-07-05,8259.801654580515,blue
2010-07-06,8262.005679653259,blue
2010-07-07,8264.20970472577,blue
2010-07-08,8266.413729798514,blue
2010-07-09,8268.617754871259,blue
2010-07-12,8275.229830089025,blue
2010-07-13,8277.43385516177,blue
2010-07-14,8279.63788023428,blue
2010-07-15,8281.841905307025,blue
2010-07-16,8284.045930379536,blue
2010-07-19,8290.658005597536,blue
2010-07-20,8292.862030670047,blue
2010-07-21,8295.066055742791,blue
2010-07-22,8297.270080815302,blue
2010-07-23,8299.474105888046,blue
2010-07-26,8306.086181106046,blue
2010-07-27,8308.290206178557,blue
2010-07-28,8310.494231251301,blue
2010-07-29,8312.698256323813,blue
2010-07-30,8314.902281396557,blue
2010-08-02,8321.514356614323,blue
2010-08-03,8323.718381687067,blue
2010-08-04,8325.922406759579,blue
2010-08-05,8328.126431832323,blue
2010-08-06,8330.330456904834,blue
2010-08-09,8336.942532122834,blue
2010-08-10,8339.146557195578,blue
2010-08-11,8341.350582268089,blue
2010-08-12,8343.554607340833,blue
2010-08-13,8345.758632413344,blue
2010-08-16,8352.370707631344,blue
2010-08-18,8356.7787577766,blue
2010-08-19,8358.98278284911,blue
2010-08-20,8361.186807921855,blue
2010-08-23,8367.798883139621,blue
2010-08-24,8370.002908212366,blue
2010-08-25,8372.206933284877,blue
2010-08-26,8374.410958357621,blue
2010-08-27,8376.614983430365,blue
2010-08-30,8383.227058648132,blue
2010-08-31,8385.431083720876,blue
2010-09-01,8387.635108793387,blue
2010-09-02,8389.839133866131,blue
2010-09-03,8392.043158938643,blue
2010-09-06,8398.655234156642,blue
2010-09-07,8400.859259229153,blue
2010-09-15,8418.491459810408,blue
2010-09-16,8420.69548488292,blue
2010-09-17,8422.899509955663,blue
2010-09-20,8429.51158517343,blue
2010-09-21,8431.715610246174,blue
2010-09-22,8433.919635318685,blue
2010-09-23,8436.12366039143,blue
2010-09-24,8438.32768546394,blue
2010-09-27,8444.93976068194,blue
2010-09-28,8447.143785754684,blue
2010-09-29,8449.347810827196,blue
2010-09-30,8451.55183589994,blue
2010-10-01,8453.755860972451,blue
2010-10-04,8460.36793619045,blue
2010-10-05,8462.571961262962,blue
2010-10-06,8464.775986335706,blue
2010-10-07,8466.980011408217,blue
